"seed","game","game_date","attemptCount","completeCount","avgMoves","winPerc"
"0cfv7QfSS9F/slJnVjmpDbh//8jCP+ULFlaV47TmH2Q=","klondike-turn-1","2024-05-14",226,190,129,84
"jsXNf3BOBSLGVmQbZAYMQcutKixnhOqUppjMdLhF1u8=","klondike-turn-1","2024-05-15",224,92,155,41
"Fcvb9bV9M3UNMLjuD8FwSshU1N/u/myeX57x+i2DeFM=","klondike-turn-1","2024-05-16",233,67,147,29
"J+SQzQkvhrljqPlyDyNP9P/E1ShWW7pC3stw08HXAdo=","klondike-turn-1","2024-05-17",231,79,158,34
"3I50Lst79uE0cNMVgBZyteFoAawubvxlvRSjluyvYXc=","klondike-turn-1","2024-05-18",224,158,147,71
"e3WPly0I6g3WSZrH0kO0OKtRHE6o/WGdG2rSqdP9o4I=","klondike-turn-1","2024-05-19",223,179,136,80
"TAnzvZ+/OftiHNO0U0v0Vvy6DVDDaUIp4h+i5kwLvlk=","klondike-turn-1","2024-05-20",224,67,144,30
"PDtAkZHZOEmhtlXjyC+HsmL7zx7CtY0y/RR4TALjrSk=","klondike-turn-1","2024-05-21",237,156,130,66
"aPP/6SD7PRAwPxQkWEOLHNkXGPU+xDHmzjb3neJNGYw=","klondike-turn-1","2024-05-22",225,129,140,57
"RwxT/2MC4qSFnpLlaKBVSNEdIkrcAqafPfP58X31NW0=","klondike-turn-1","2024-05-23",250,133,136,53
"yJfM2SFSpUw2gduXrdlUS6UtZ4p003RsD9FO1Yv1Q/s=","klondike-turn-1","2024-05-24",232,41,153,18
"meScdc0RzwQeabb2ZhVys2HAafIE0HSu0mpuLkVd9Xc=","klondike-turn-1","2024-05-25",253,201,134,79
"6SkdIbqeUwnKmw4HvybRSXFdrdh1pqtt2COW2au3v3s=","klondike-turn-1","2024-05-26",215,180,136,84
"/cmYhp9eq0gZo27QyHJ9ZkqC1gLDNzc7AU4Nun5RhR0=","klondike-turn-1","2024-05-27",245,187,131,76
"JpYU1/7w53PxCtrekEeZiqDnl4YM+BNeEofia1H9XnM=","klondike-turn-1","2024-05-28",214,159,135,74
"YYXvNegqEYefXjRiHxDLbLwPKI4Sap+BvJ0ml2QBe9o=","klondike-turn-1","2024-05-29",216,189,129,88
"HNYz2qoOE3lIZC/FiLk3mTbc71gcm4Ao1qJ3Ks4W3R4=","klondike-turn-1","2024-05-30",224,154,144,69
"lIdl5UmfMw19R7CWcUt/wraPES2h3jDXM7kPlKBAkLM=","klondike-turn-1","2024-05-31",224,165,130,74
"8jKUHJwIt+AQIRFwL+fO9/XO5vdcXkMpLZhIF8iFq90=","klondike-turn-1","2024-06-01",232,210,135,91
"cDu40AArH7Fa6lfiIEpt209UslL5uuAE95Mp0snm6Uw=","klondike-turn-1","2024-06-02",234,184,138,79
"6+ob9j3eGK5GuOxrvEYwEs8M4wuiZNQ7GdVepMYxIxo=","klondike-turn-1","2024-06-03",213,162,137,76
"BjN+Kxe8UcQGw/i4OYnQ0CzKB76Pqd27oxJzRy8FkIk=","klondike-turn-1","2024-06-04",222,100,159,45
"RAYY5ma6anqxh4WaOqk/g4EcOW4URXtxZ0v12yYqI8g=","klondike-turn-1","2024-06-05",217,162,125,75
