"","id...1_TMB","study_name_TMB","sitting_id_TMB","battery_id_TMB","battery_name_TMB","test_id_TMB","test_name_TMB","test_version_TMB","user_id_TMB","user_agent_TMB","geoip_TMB","start_time_TMB","end_time_TMB","timezone_TMB","duration...17_TMB","score...18_TMB","data_TMB","consented_TMB","demographics_TMB","misc_TMB","duration...25_TMB","ntrials_TMB","input_TMB","screenW_TMB","screenH_TMB","touch_TMB","OS_TMB","UTCoffset_TMB","score...33_TMB","num_correct_TMB","num_responses_TMB","meanRTc_TMB","medianRTc_TMB","sdRTc_TMB","symbolsUsed_TMB","responseDevice_TMB","testVersion_TMB","accuracy_TMB","flag_accuracy_TMB","flag_medianRTc_TMB","flag_any_TMB","meanRT_TMB","medianRT_TMB","sdRT_TMB","rtcMean_TMB","rtcSD_TMB","rtcMedian_TMB","flipscMean_TMB","flipscSD_TMB","flipscMedian_TMB","timeouts_TMB","study_TMB","id...57_TMB","group_TMB","tmbUserId_SOL","userId_SOL","game_id_SOL","status_SOL","researchStudyCreatedAt_SOL","researchStudyupdatedAt_SOL","game_SOL","seed_SOL","completion_time_SOL","moves_SOL","score_SOL","statsCreatedAt_SOL","statsUpdatedAt_SOL","undoCount_SOL","hintCount_SOL","upMoveCount_SOL","hkMoveCount_SOL","autoMoveCount_SOL","width_SOL","height_SOL","postal_SOL","country_SOL","hotkeys_SOL","autoplay_SOL","maxTouchPoints_SOL","deviceType_SOL","age_SOL","gender_SOL","cognitiveImpairment_SOL"
"1",198,"solitairecog",280,1,"a TestMyBrain test!",5,"Spot the Difference","Flicker_Main.v1.Jun23","123fee","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0","null",2024-07-21 01:28:52,2024-07-21 01:32:18,"UTC - UTC +00:00",206,6.71,"[{""type"":""practice"",""correct"":1,""rt"":3729,""flips"":5,""seed"":""practice1"",""state"":""pointerup-mouse""},{""type"":""practice"",""correct"":1,""rt"":23474.9,""flips"":33,""seed"":""practice2"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":4878.1,""flips"":7,""seed"":""test1"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":2773.3,""flips"":4,""seed"":""test2"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":8456.7,""flips"":12,""seed"":""test3"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":19179.2,""flips"":27,""seed"":""test4"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":9179.8,""flips"":13,""seed"":""test5"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":5762.5,""flips"":8,""seed"":""test6"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":0,""rt"":0,""flips"":42,""seed"":""test7"",""state"":""timeout""},{""type"":""test"",""correct"":1,""rt"":3568.2,""flips"":5,""seed"":""test8"",""state"":""pointerup-mouse""},{""type"":""catch"",""correct"":1,""rt"":3347.2,""flips"":5,""seed"":""catch1"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":18326.4,""flips"":26,""seed"":""test9"",""state"":""pointerup-mouse""}]",0,NA,NA,NA,"9",NA,1920,1080,TRUE,"Windows",240,6.71,NA,NA,NA,NA,NA,NA,"mouse","Flicker_Main.v1.Jun23",0.9,NA,NA,NA,NA,NA,NA,8385.7,6277.3,5762.5,11.9,8.8,8,1,"solitairecog","123fee",1,"123fee",1196014,3665408118,"completed",2024-07-21 01:27:12,2024-07-21 01:32:19,"klondike-turn-1","APHmVj3lsnEx06KPLwm0TE+XMZoJ9hDGQT+6Ewjntis=",3111,123,3234,2024-07-21 00:35:18,2024-07-21 01:27:12,0,0,6,0,22,1897,932,"19401","US",FALSE,TRUE,10,NA,"75","Female","No"
"2",202,"solitairecog",286,2,"a TestMyBrain test!",3,"Fast Reactions","SimpleRT_Main.v1.Jul23","12f2fc","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36","null",2024-07-21 14:25:06,2024-07-21 14:26:08,"UTC - UTC +00:00",62,33.08,"[{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":367.6,""dwell"":78.5,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":296.3,""dwell"":92.5,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":289.9,""dwell"":75.9,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1300,""response"":""document"",""rt"":473.9,""dwell"":97.2,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":330.1,""dwell"":105.6,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":242.2,""dwell"":94.9,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":33.5,""dwell"":83.9,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":156.5,""dwell"":83.8,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""response"":""document"",""rt"":538.5,""dwell"":88.4,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":342.7,""dwell"":90.2,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""response"":""document"",""rt"":321.4,""dwell"":59,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""response"":""document"",""rt"":253.7,""dwell"":82.8,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""response"":""document"",""rt"":289.2,""dwell"":81.9,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":331.7,""dwell"":49.1,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":314.3,""dwell"":111.7,""state"":""pointerup-touch""}]",0,NA,NA,NA,"12",NA,854,384,TRUE,"Android",-330,33.08,NA,NA,NA,NA,NA,NA,"touch","SimpleRT_Main.v1.Jul23",NA,NA,NA,NA,302.31,317.85,130.97,NA,NA,NA,NA,NA,NA,NA,"solitairecog","12f2fc",2,"12f2fc",1241852,3667389664,"completed",2024-07-21 14:23:29,2024-07-21 14:26:11,"klondike-turn-1","APHmVj3lsnEx06KPLwm0TE+XMZoJ9hDGQT+6Ewjntis=",200,151,351,2024-07-21 14:20:04,2024-07-21 14:23:28,0,0,35,0,108,384,741,"500035","IN",FALSE,TRUE,5,"mobile","25","Male","No"
"3",203,"solitairecog",287,1,"a TestMyBrain test!",5,"Spot the Difference","Flicker_Main.v1.Jun23","12f088","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","null",2024-07-21 15:24:17,2024-07-21 15:26:11,"UTC - UTC +00:00",114,9.9,"[{""type"":""practice"",""correct"":1,""rt"":1992.3,""flips"":2,""seed"":""practice1"",""state"":""pointerup-mouse""},{""type"":""practice"",""correct"":1,""rt"":4880.4,""flips"":7,""seed"":""practice2"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":15708.5,""flips"":22,""seed"":""test1"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":8005.6,""flips"":11,""seed"":""test2"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":17945.4,""flips"":25,""seed"":""test3"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":5269.5,""flips"":7,""seed"":""test4"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":5641,""flips"":8,""seed"":""test5"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":4466.2,""flips"":6,""seed"":""test6"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":5737.3,""flips"":8,""seed"":""test7"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":1992,""flips"":2,""seed"":""test8"",""state"":""pointerup-mouse""},{""type"":""catch"",""correct"":1,""rt"":1848.5,""flips"":2,""seed"":""catch1"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":7411.2,""flips"":10,""seed"":""test9"",""state"":""pointerup-mouse""}]",0,NA,NA,NA,"9",NA,1600,900,FALSE,"Windows",-240,9.9,NA,NA,NA,NA,NA,NA,"mouse","Flicker_Main.v1.Jun23",1,NA,NA,NA,NA,NA,NA,7402.5,5371.5,5689.2,10.1,7.7,8,0,"solitairecog","12f088",1,"12f088",1241224,3667594164,"completed",2024-07-21 15:23:39,2024-07-21 15:26:13,"klondike-turn-1","APHmVj3lsnEx06KPLwm0TE+XMZoJ9hDGQT+6Ewjntis=",186,126,312,2024-07-21 15:20:29,2024-07-21 15:23:38,0,4,28,0,81,1583,739,NA,"GE",FALSE,TRUE,0,NA,"26","Female","No"
"4",204,"solitairecog",289,1,"a TestMyBrain test!",2,"Visual Patterns","Matrix_Main.v1.Oct23","12c492","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","null",2024-07-21 19:44:01,2024-07-21 19:48:32,"UTC - UTC +00:00",271,5,"[{""type"":""practice"",""matrix"":""images/1.png"",""target"":""images/1-3.png"",""response"":""images/1-3.png"",""responseTimestamp"":33039,""correct"":1,""rt"":2427.4,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/8.png"",""target"":""images/8-1.png"",""response"":""images/8-1.png"",""responseTimestamp"":40900.60000002384,""correct"":1,""rt"":3659.3,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/18.png"",""target"":""images/18-4.png"",""response"":""images/18-4.png"",""responseTimestamp"":51845.60000002384,""correct"":1,""rt"":10226,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/13.png"",""target"":""images/13-5.png"",""response"":""images/13-5.png"",""responseTimestamp"":60482.10000002384,""correct"":1,""rt"":7911.6,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/10.png"",""target"":""images/10-3.png"",""response"":""images/10-3.png"",""responseTimestamp"":66618.39999997616,""correct"":1,""rt"":5463.2,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/22.png"",""target"":""images/22-4.png"",""response"":""images/22-5.png"",""responseTimestamp"":86408.39999997616,""correct"":0,""rt"":19054.1,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/26.png"",""target"":""images/26-2.png"",""response"":""images/26-3.png"",""responseTimestamp"":98311.80000007153,""correct"":0,""rt"":11222.6,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/20.png"",""target"":""images/20-1.png"",""response"":""images/20-1.png"",""responseTimestamp"":116222.20000004768,""correct"":1,""rt"":17206,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/31.png"",""target"":""images/31-3.png"",""response"":""images/31-5.png"",""responseTimestamp"":169989.20000004768,""correct"":0,""rt"":53043.5,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/23.png"",""target"":""images/23-5.png"",""response"":""images/23-4.png"",""responseTimestamp"":189480.80000007153,""correct"":0,""rt"":18817.2,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/37.png"",""target"":""images/37-5.png"",""response"":""images/37-4.png"",""responseTimestamp"":270949.2000000477,""correct"":0,""rt"":80710,""repeated"":0,""state"":""pointerup-mouse""}]",0,NA,NA,NA,NA,"MatrixInput_11items_v1.txt",1600,900,FALSE,"Windows",-60,5,NA,NA,8893.22,7911.6,5267.85,NA,"mouse","Matrix_Main.v1.Oct23",0.4545,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"solitairecog","12c492",1,"12c492",1229970,3668555324,"completed",2024-07-21 19:42:22,2024-07-21 19:48:36,"klondike-turn-1","APHmVj3lsnEx06KPLwm0TE+XMZoJ9hDGQT+6Ewjntis=",319,130,449,2024-07-21 19:36:57,2024-07-21 19:42:21,0,0,8,0,84,1583,773,"NE48","GB",FALSE,TRUE,0,NA,"84","Female","No"
"5",216,"solitairecog",308,1,"a TestMyBrain test!",2,"Visual Patterns","Matrix_Main.v1.Oct23","431ec","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","null",2024-07-22 14:51:31,2024-07-22 14:53:49,"UTC - UTC +00:00",138,3,"[{""type"":""practice"",""matrix"":""images/1.png"",""target"":""images/1-3.png"",""response"":""images/1-3.png"",""responseTimestamp"":33477.199999928474,""correct"":1,""rt"":2410,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/8.png"",""target"":""images/8-1.png"",""response"":""images/8-1.png"",""responseTimestamp"":46605.89999997616,""correct"":1,""rt"":8158.4,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/18.png"",""target"":""images/18-4.png"",""response"":""images/18-5.png"",""responseTimestamp"":54849.799999952316,""correct"":0,""rt"":7546.1,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/13.png"",""target"":""images/13-5.png"",""response"":""images/13-1.png"",""responseTimestamp"":60746.89999997616,""correct"":0,""rt"":5184.9,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/10.png"",""target"":""images/10-3.png"",""response"":""images/10-3.png"",""responseTimestamp"":70577,""correct"":1,""rt"":9129,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/22.png"",""target"":""images/22-4.png"",""response"":""images/22-4.png"",""responseTimestamp"":84512.29999995232,""correct"":1,""rt"":13170.8,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/26.png"",""target"":""images/26-2.png"",""response"":""images/26-1.png"",""responseTimestamp"":90012.69999992847,""correct"":0,""rt"":4755.3,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/20.png"",""target"":""images/20-1.png"",""response"":""images/20-4.png"",""responseTimestamp"":98129.19999992847,""correct"":0,""rt"":7422.4,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/31.png"",""target"":""images/31-3.png"",""response"":""images/31-5.png"",""responseTimestamp"":137179.19999992847,""correct"":0,""rt"":38367,""repeated"":0,""state"":""pointerup-mouse""}]",0,NA,NA,NA,NA,"MatrixInput_11items_v1.txt",2195,1235,FALSE,"Windows",240,3,NA,NA,10152.73,9129,2658.39,NA,"mouse","Matrix_Main.v1.Oct23",0.2727,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"solitairecog","431ec",1,"431ec",274924,3669308296,"completed",2024-07-21 22:45:50,2024-07-22 14:53:51,"klondike-turn-1","APHmVj3lsnEx06KPLwm0TE+XMZoJ9hDGQT+6Ewjntis=",200,122,322,2024-07-21 22:42:26,2024-07-21 22:45:49,0,0,0,0,87,2179,1100,"30040","US",TRUE,TRUE,0,NA,"80","Female","No"
"6",341,"solitairecog",469,2,"a TestMyBrain test!",4,"Fast Choices","ChoiceRT_Main.v1.Oct23","12da0c","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36","null",2024-07-23 22:36:33,2024-07-23 22:38:20,"UTC - UTC +00:00",107,11.6,"[{""type"":""practice"",""foreperiod"":1000,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":1085.8,""responseTimestamp"":42207.70000001788,""dwell"":42.4,""repeated"":0,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":528.2,""responseTimestamp"":44088.30000001192,""dwell"":88.3,""repeated"":0,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":1449.2,""responseTimestamp"":46879.20000001788,""dwell"":73.8,""repeated"":0,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""color"":""blue"",""position"":""Middle"",""targetDirection"":""right"",""correct"":1,""rt"":731.7,""responseTimestamp"":48976.80000001192,""dwell"":88,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1300,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":775.4,""responseTimestamp"":58555.5,""dwell"":82.7,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":718.9,""responseTimestamp"":60351.09999999404,""dwell"":96.6,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""right"",""correct"":1,""rt"":517.9,""responseTimestamp"":61915.40000000596,""dwell"":80.2,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":904.6,""responseTimestamp"":63856.70000001788,""dwell"":68.1,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":868.1,""responseTimestamp"":65775.5,""dwell"":87.2,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":737.8,""responseTimestamp"":67976.20000001788,""dwell"":81.7,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":923,""responseTimestamp"":69954.09999999404,""dwell"":74.2,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""color"":""blue"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":746.9,""responseTimestamp"":72148.90000000596,""dwell"":81.4,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""color"":""blue"",""position"":""Top"",""targetDirection"":""left"",""correct"":1,""rt"":771,""responseTimestamp"":74160.09999999404,""dwell"":67.2,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":755.2,""responseTimestamp"":76150.59999999404,""dwell"":72.2,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":753.6,""responseTimestamp"":77957.30000001192,""dwell"":76.7,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Middle"",""targetDirection"":""right"",""correct"":1,""rt"":1746.9,""responseTimestamp"":80734.09999999404,""dwell"":60.1,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1300,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""right"",""correct"":1,""rt"":995.1,""responseTimestamp"":83377.90000000596,""dwell"":70.5,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""color"":""yellow"",""position"":""Bottom"",""targetDirection"":""right"",""correct"":1,""rt"":814.9,""responseTimestamp"":85630.90000000596,""dwell"":68.6,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1300,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":977.8,""responseTimestamp"":88254.20000001788,""dwell"":78.4,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":860.9,""responseTimestamp"":90157.20000001788,""dwell"":79.6,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""right"",""correct"":1,""rt"":915.2,""responseTimestamp"":92310,""dwell"":58.9,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":768.1,""responseTimestamp"":94127.5,""dwell"":75.4,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1500,""color"":""blue"",""position"":""Top"",""targetDirection"":""left"",""correct"":1,""rt"":917.4,""responseTimestamp"":96905.09999999404,""dwell"":84.9,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":1025.8,""responseTimestamp"":98981.20000001788,""dwell"":85.8,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1500,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":803.2,""responseTimestamp"":101623.09999999404,""dwell"":64,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""color"":""blue"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":822,""responseTimestamp"":103701.30000001192,""dwell"":87.6,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""right"",""correct"":1,""rt"":828.5,""responseTimestamp"":105797.90000000596,""dwell"":93.3,""repeated"":0,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":745.3,""responseTimestamp"":107608.90000000596,""dwell"":103.7,""repeated"":0,""state"":""pointerup-touch""}]",0,NA,NA,NA,"24",NA,857,384,TRUE,"Android",-330,11.6,NA,NA,862.23,818.45,217.68,NA,"touch","ChoiceRT_Main.v1.Oct23",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"solitairecog","12da0c",2,"12da0c",1235468,3667368508,"completed",2024-07-21 14:17:20,2024-07-23 22:38:23,"klondike-turn-1","APHmVj3lsnEx06KPLwm0TE+XMZoJ9hDGQT+6Ewjntis=",212,172,384,2024-07-21 14:13:44,2024-07-21 14:17:19,2,2,76,0,105,384,728,"500008","IN",FALSE,TRUE,5,"mobile","25","Female","No"
"7",446,"solitairecog",608,1,"a TestMyBrain test!",2,"Visual Patterns","Matrix_Main.v1.Oct23","e9df4","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","null",2024-07-24 15:52:26,2024-07-24 15:54:14,"UTC - UTC +00:00",108,0,"[{""type"":""practice"",""matrix"":""images/1.png"",""target"":""images/1-3.png"",""response"":""images/1-3.png"",""responseTimestamp"":72494.29999995232,""correct"":1,""rt"":3538.1,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/8.png"",""target"":""images/8-1.png"",""response"":""images/8-4.png"",""responseTimestamp"":88848.5,""correct"":0,""rt"":6900.2,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/18.png"",""target"":""images/18-4.png"",""response"":""images/18-5.png"",""responseTimestamp"":97024,""correct"":0,""rt"":7491.3,""repeated"":0,""state"":""pointerup-mouse""},{""type"":""test"",""matrix"":""images/13.png"",""target"":""images/13-5.png"",""response"":""images/13-2.png"",""responseTimestamp"":106682.29999995232,""correct"":0,""rt"":8977.3,""repeated"":0,""state"":""pointerup-mouse""}]",0,NA,NA,NA,NA,"MatrixInput_11items_v1.txt",1366,768,TRUE,"Unix",300,0,NA,NA,NA,NA,NA,NA,"mouse","Matrix_Main.v1.Oct23",0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"solitairecog","e9df4",1,"e9df4",957940,3669073181,"geo",2024-07-21 21:45:29,2024-07-21 21:45:29,"klondike-turn-1","APHmVj3lsnEx06KPLwm0TE+XMZoJ9hDGQT+6Ewjntis=",248,121,369,2024-07-21 21:41:13,2024-07-21 21:45:28,0,0,1,0,86,919,511,"74075","US",FALSE,TRUE,10,NA,NA,NA,NA
