"","id...1_TMB","study_name_TMB","sitting_id_TMB","battery_id_TMB","battery_name_TMB","test_id_TMB","test_name_TMB","test_version_TMB","user_id_TMB","user_agent_TMB","geoip_TMB","start_time_TMB","end_time_TMB","timezone_TMB","duration...17_TMB","score...18_TMB","data_TMB","consented_TMB","demographics_TMB","misc_TMB","input_TMB","duration...26_TMB","ntrials_TMB","screenW_TMB","screenH_TMB","touch_TMB","OS_TMB","UTCoffset_TMB","score...33_TMB","accuracy_TMB","meanRTc_TMB","medianRTc_TMB","sdRTc_TMB","flag_medianRTc_TMB","flag_any_TMB","responseDevice_TMB","testVersion_TMB","num_correct_TMB","num_responses_TMB","symbolsUsed_TMB","rtcMean_TMB","rtcSD_TMB","rtcMedian_TMB","flipscMean_TMB","flipscSD_TMB","flipscMedian_TMB","timeouts_TMB","flag_accuracy_TMB","meanRT_TMB","medianRT_TMB","sdRT_TMB","study_TMB","id...57_TMB","group_TMB","tmbUserId_SOL","userId_SOL","game_id_SOL","status_SOL","researchStudyCreatedAt_SOL","researchStudyupdatedAt_SOL","game_SOL","seed_SOL","completion_time_SOL","moves_SOL","score_SOL","statsCreatedAt_SOL","statsUpdatedAt_SOL","undoCount_SOL","hintCount_SOL","upMoveCount_SOL","hkMoveCount_SOL","autoMoveCount_SOL","width_SOL","height_SOL","postal_SOL","country_SOL","hotkeys_SOL","autoplay_SOL","deviceType_SOL","maxTouchPoints_SOL","age_SOL","gender_SOL","cognitiveImpairment_SOL"
"1",121,"solitairecog",170,1,"a TestMyBrain test!",4,"Fast Choices","ChoiceRT_Main.v1.Oct23","12dc64","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","null",2024-07-15 15:29:47,2024-07-15 15:33:52,"UTC - UTC +00:00",245,3.92,"[{""type"":""practice"",""foreperiod"":1000,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":0,""rt"":2259.8,""responseTimestamp"":58300.59999999404,""dwell"":173,""repeated"":0,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":0,""rt"":3166.3,""responseTimestamp"":70932.40000000596,""dwell"":242.7,""repeated"":1,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":1054.1,""responseTimestamp"":77646.5,""dwell"":176.5,""repeated"":1,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":null,""rt"":null,""responseTimestamp"":83667.59999999404,""dwell"":null,""repeated"":0,""state"":""timeout""},{""type"":""practice"",""foreperiod"":1000,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":null,""rt"":null,""responseTimestamp"":93098,""dwell"":null,""repeated"":1,""state"":""timeout""},{""type"":""practice"",""foreperiod"":1000,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":1776.3,""responseTimestamp"":98536.59999999404,""dwell"":163.6,""repeated"":1,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":0,""rt"":2496.8,""responseTimestamp"":102537.80000001192,""dwell"":237.8,""repeated"":0,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":0,""rt"":4405.5,""responseTimestamp"":110654.80000001192,""dwell"":201.9,""repeated"":1,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":1620.5,""responseTimestamp"":115550.30000001192,""dwell"":186.8,""repeated"":1,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""color"":""blue"",""position"":""Middle"",""targetDirection"":""right"",""correct"":null,""rt"":null,""responseTimestamp"":121573.30000001192,""dwell"":null,""repeated"":0,""state"":""timeout""},{""type"":""practice"",""foreperiod"":1000,""color"":""blue"",""position"":""Middle"",""targetDirection"":""right"",""correct"":null,""rt"":null,""responseTimestamp"":131847.20000001788,""dwell"":null,""repeated"":1,""state"":""timeout""},{""type"":""practice"",""foreperiod"":1000,""color"":""blue"",""position"":""Middle"",""targetDirection"":""right"",""correct"":1,""rt"":2365.7,""responseTimestamp"":137741.70000001788,""dwell"":184.8,""repeated"":1,""state"":""keyup""},{""type"":""test"",""foreperiod"":1300,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":1447.4,""responseTimestamp"":150663.80000001192,""dwell"":237,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":3178.7,""responseTimestamp"":155012.09999999404,""dwell"":206,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""right"",""correct"":1,""rt"":1125.2,""responseTimestamp"":157313.59999999404,""dwell"":211.6,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":3022,""responseTimestamp"":161471.59999999404,""dwell"":170.8,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":4800.3,""responseTimestamp"":167466.09999999404,""dwell"":216.9,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":1100,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":2057.2,""responseTimestamp"":171027.30000001192,""dwell"":135.5,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Top"",""targetDirection"":""right"",""correct"":null,""rt"":null,""responseTimestamp"":176747.90000000596,""dwell"":null,""repeated"":0,""state"":""timeout""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":2783.9,""responseTimestamp"":182804.09999999404,""dwell"":111.8,""repeated"":1,""state"":""keyup""},{""type"":""test"",""foreperiod"":1100,""color"":""blue"",""position"":""Top"",""targetDirection"":""right"",""correct"":0,""rt"":1590.7,""responseTimestamp"":186068.5,""dwell"":318.5,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":900,""color"":""blue"",""position"":""Top"",""targetDirection"":""left"",""correct"":0,""rt"":1478.9,""responseTimestamp"":188928.90000000596,""dwell"":217,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":900,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":2629.4,""responseTimestamp"":192931.30000001192,""dwell"":215.3,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":1529.1,""responseTimestamp"":195690.30000001192,""dwell"":252.8,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Middle"",""targetDirection"":""right"",""correct"":1,""rt"":1415.8,""responseTimestamp"":198297.80000001192,""dwell"":215.9,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":1300,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""right"",""correct"":1,""rt"":2628.9,""responseTimestamp"":202581.80000001192,""dwell"":96.7,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":1100,""color"":""yellow"",""position"":""Bottom"",""targetDirection"":""right"",""correct"":0,""rt"":2156.3,""responseTimestamp"":206316.90000000596,""dwell"":206.6,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":1300,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":2077.2,""responseTimestamp"":210138.40000000596,""dwell"":177.9,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Bottom"",""targetDirection"":""left"",""correct"":1,""rt"":2728.8,""responseTimestamp"":214019.30000001192,""dwell"":183.4,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":900,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""right"",""correct"":0,""rt"":1413.4,""responseTimestamp"":216914.20000001788,""dwell"":315.4,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":3045.4,""responseTimestamp"":221113.70000001788,""dwell"":185.9,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":1500,""color"":""blue"",""position"":""Top"",""targetDirection"":""left"",""correct"":1,""rt"":2349.2,""responseTimestamp"":225424.70000001788,""dwell"":200.2,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""blue"",""position"":""Middle"",""targetDirection"":""left"",""correct"":1,""rt"":3088.9,""responseTimestamp"":229718,""dwell"":238.9,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":1500,""color"":""yellow"",""position"":""Top"",""targetDirection"":""right"",""correct"":1,""rt"":2241,""responseTimestamp"":233937,""dwell"":214.7,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":900,""color"":""blue"",""position"":""Middle"",""targetDirection"":""left"",""correct"":0,""rt"":2845.1,""responseTimestamp"":238048.40000000596,""dwell"":110.8,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":900,""color"":""blue"",""position"":""Bottom"",""targetDirection"":""right"",""correct"":1,""rt"":3800.8,""responseTimestamp"":243146.09999999404,""dwell"":125.7,""repeated"":0,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""color"":""yellow"",""position"":""Middle"",""targetDirection"":""left"",""correct"":0,""rt"":1864,""responseTimestamp"":246118.80000001192,""dwell"":137.6,""repeated"":0,""state"":""keyup""}]",0,NA,NA,NA,NA,"24",1280,720,FALSE,"Windows",-180,3.92,0.75,2552.73,2629.15,909.36,0,0,"keyboard","ChoiceRT_Main.v1.Oct23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"solitairecog","12dc64",1,"12dc64",1236068,3639838613,"completed",2024-07-15 15:29:02,2024-07-15 15:33:55,"klondike-turn-1","fnXth049EHmQuWbFlt70vTgWmrpY1xi5vV10Feqg76I=",340,167,507,2024-07-15 15:23:18,2024-07-15 15:29:01,2,2,91,0,83,1263,559,NA,"SA",FALSE,TRUE,NA,0,"18","Female","No"
"2",122,"solitairecog",172,1,"a TestMyBrain test!",1,"Matching Shapes and Numbers","DSC_Main.v1.Jun23","49817","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","null",2024-07-15 22:31:07,2024-07-15 22:32:36,"UTC - UTC +00:00",89,8,"[{""type"":""practice"",""symbol"":1,""digit"":1,""response"":""1"",""correct"":1,""rt"":4290.1,""stimOnsetTimestamp"":38105.10000002384,""responseTimestamp"":42395.60000002384,""state"":""keyup""},{""type"":""practice"",""symbol"":3,""digit"":3,""response"":""3"",""correct"":1,""rt"":3932.8,""stimOnsetTimestamp"":42789.10000002384,""responseTimestamp"":46721.89999997616,""state"":""keyup""},{""type"":""practice"",""symbol"":5,""digit"":2,""response"":""2"",""correct"":1,""rt"":1981.1,""stimOnsetTimestamp"":47116,""responseTimestamp"":49097.10000002384,""state"":""keyup""},{""type"":""test"",""symbol"":4,""digit"":1,""response"":""1"",""correct"":1,""rt"":3027.9,""stimOnsetTimestamp"":58800.39999997616,""responseTimestamp"":61828.300000071526,""state"":""keyup""},{""type"":""test"",""symbol"":5,""digit"":2,""response"":""1"",""correct"":0,""rt"":1930.5,""stimOnsetTimestamp"":62228.700000047684,""responseTimestamp"":64159.200000047684,""state"":""keyup""},{""type"":""test"",""symbol"":4,""digit"":1,""response"":""1"",""correct"":1,""rt"":4212,""stimOnsetTimestamp"":64615,""responseTimestamp"":68827,""state"":""keyup""},{""type"":""test"",""symbol"":6,""digit"":3,""response"":""3"",""correct"":1,""rt"":1968.5,""stimOnsetTimestamp"":69281,""responseTimestamp"":71249.5,""state"":""keyup""},{""type"":""test"",""symbol"":4,""digit"":1,""response"":""1"",""correct"":1,""rt"":2446.3,""stimOnsetTimestamp"":71749.60000002384,""responseTimestamp"":74196,""state"":""keyup""},{""type"":""test"",""symbol"":1,""digit"":1,""response"":""1"",""correct"":1,""rt"":2398.7,""stimOnsetTimestamp"":74716.10000002384,""responseTimestamp"":77114.80000007153,""state"":""keyup""},{""type"":""test"",""symbol"":4,""digit"":1,""response"":""1"",""correct"":1,""rt"":3318,""stimOnsetTimestamp"":77631.30000007153,""responseTimestamp"":80949.30000007153,""state"":""keyup""},{""type"":""test"",""symbol"":1,""digit"":1,""response"":""1"",""correct"":1,""rt"":2260.6,""stimOnsetTimestamp"":81461.10000002384,""responseTimestamp"":83721.70000004768,""state"":""keyup""},{""type"":""test"",""symbol"":3,""digit"":3,""response"":""3"",""correct"":1,""rt"":2195.1,""stimOnsetTimestamp"":84202,""responseTimestamp"":86397.10000002384,""state"":""keyup""},{""type"":""test"",""symbol"":2,""digit"":2,""response"":null,""correct"":null,""rt"":null,""stimOnsetTimestamp"":86865.20000004768,""responseTimestamp"":88802.60000002384,""state"":""timeout""}]",0,NA,NA,NA,"30",NA,1680,1050,FALSE,"MacOS",240,8,NA,2728.39,2422.5,747.13,NA,NA,"keyboard","DSC_Main.v1.Jun23",8,9,"1,2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"solitairecog","49817",1,"49817",301079,3641711493,"completed",2024-07-15 22:30:18,2024-07-15 22:32:36,"klondike-turn-1","fnXth049EHmQuWbFlt70vTgWmrpY1xi5vV10Feqg76I=",240,129,369,2024-07-15 22:26:15,2024-07-15 22:30:18,0,0,1,0,85,1680,878,"07052","US",FALSE,TRUE,NA,0,"75","Female","No"
"3",155,"solitairecog",222,1,"a TestMyBrain test!",3,"Fast Reactions","SimpleRT_Main.v1.Jul23","1290ee","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","null",2024-07-18 09:01:18,2024-07-18 09:03:28,"UTC - UTC +00:00",130,30.66,"[{""type"":""practice"",""foreperiod"":1000,""response"":""space"",""rt"":403,""dwell"":104,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""response"":""space"",""rt"":215,""dwell"":136,""state"":""keyup""},{""type"":""practice"",""foreperiod"":1000,""response"":""space"",""rt"":227,""dwell"":128,""state"":""keyup""},{""type"":""test"",""foreperiod"":1300,""response"":""space"",""rt"":601,""dwell"":113,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""response"":""space"",""rt"":531,""dwell"":88,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""response"":""space"",""rt"":236,""dwell"":105,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""response"":""space"",""rt"":217,""dwell"":95,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""response"":""space"",""rt"":235,""dwell"":64,""state"":""keyup""},{""type"":""test"",""foreperiod"":1100,""response"":""space"",""rt"":246,""dwell"":104,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""response"":""space"",""rt"":360,""dwell"":88,""state"":""keyup""},{""type"":""test"",""foreperiod"":1100,""response"":""space"",""rt"":235,""dwell"":103,""state"":""keyup""},{""type"":""test"",""foreperiod"":900,""response"":""space"",""rt"":267,""dwell"":121,""state"":""keyup""},{""type"":""test"",""foreperiod"":900,""response"":""space"",""rt"":302,""dwell"":104,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""response"":""space"",""rt"":374,""dwell"":120,""state"":""keyup""},{""type"":""test"",""foreperiod"":700,""response"":""space"",""rt"":310,""dwell"":80,""state"":""keyup""}]",0,NA,NA,NA,NA,"12",1927,957,FALSE,"Windows",-120,30.66,NA,NA,NA,NA,NA,NA,"keyboard","SimpleRT_Main.v1.Jul23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.17,284.5,123.72,"solitairecog","1290ee",1,"1290ee",1216750,3638562894,"geo",2024-07-15 08:49:56,2024-07-15 08:49:56,"klondike-turn-1","fnXth049EHmQuWbFlt70vTgWmrpY1xi5vV10Feqg76I=",451,320,771,2024-07-15 08:41:48,2024-07-15 08:49:56,96,0,6,0,136,1903,1080,"60341","DE",FALSE,TRUE,NA,0,NA,NA,NA
