"","id...1_TMB","study_name_TMB","sitting_id_TMB","battery_id_TMB","battery_name_TMB","test_id_TMB","test_name_TMB","test_version_TMB","user_id_TMB","user_agent_TMB","geoip_TMB","start_time_TMB","end_time_TMB","timezone_TMB","duration...17_TMB","score...18_TMB","data_TMB","consented_TMB","demographics_TMB","misc_TMB","input_TMB","duration...26_TMB","ntrials_TMB","screenW_TMB","screenH_TMB","touch_TMB","OS_TMB","UTCoffset_TMB","score...33_TMB","accuracy_TMB","meanRTc_TMB","medianRTc_TMB","sdRTc_TMB","flag_medianRTc_TMB","flag_any_TMB","responseDevice_TMB","testVersion_TMB","num_correct_TMB","num_responses_TMB","symbolsUsed_TMB","rtcMean_TMB","rtcSD_TMB","rtcMedian_TMB","flipscMean_TMB","flipscSD_TMB","flipscMedian_TMB","timeouts_TMB","flag_accuracy_TMB","meanRT_TMB","medianRT_TMB","sdRT_TMB","study_TMB","id...57_TMB","group_TMB","tmbUserId_SOL","userId_SOL","game_id_SOL","status_SOL","researchStudyCreatedAt_SOL","researchStudyupdatedAt_SOL","game_SOL","seed_SOL","completion_time_SOL","moves_SOL","score_SOL","statsCreatedAt_SOL","statsUpdatedAt_SOL","undoCount_SOL","hintCount_SOL","upMoveCount_SOL","hkMoveCount_SOL","autoMoveCount_SOL","width_SOL","height_SOL","postal_SOL","country_SOL","hotkeys_SOL","autoplay_SOL","deviceType_SOL","maxTouchPoints_SOL","age_SOL","gender_SOL","cognitiveImpairment_SOL"
"1",146,"solitairecog",208,1,"a TestMyBrain test!",5,"Spot the Difference","Flicker_Main.v1.Jun23","12e38f","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0","null",2024-07-17 11:25:51,2024-07-17 11:28:32,"UTC - UTC +00:00",161,8.85,"[{""type"":""practice"",""correct"":1,""rt"":3017.8,""flips"":4,""seed"":""practice1"",""state"":""pointerup-mouse""},{""type"":""practice"",""correct"":1,""rt"":26200.1,""flips"":37,""seed"":""practice2"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":8271.3,""flips"":11,""seed"":""test1"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":9528,""flips"":13,""seed"":""test2"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":22038.7,""flips"":31,""seed"":""test3"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":7999.8,""flips"":11,""seed"":""test4"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":3650.8,""flips"":5,""seed"":""test5"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":11958.7,""flips"":17,""seed"":""test6"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":7676.3,""flips"":11,""seed"":""test7"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":2649.4,""flips"":4,""seed"":""test8"",""state"":""pointerup-mouse""},{""type"":""catch"",""correct"":1,""rt"":3051.2,""flips"":4,""seed"":""catch1"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":4316.5,""flips"":6,""seed"":""test9"",""state"":""pointerup-mouse""}]",0,NA,NA,NA,NA,"9",1047,591,FALSE,"Windows",-120,8.85,1,NA,NA,NA,NA,NA,"mouse","Flicker_Main.v1.Jun23",NA,NA,NA,8114.1,5780.6,7838.1,11.3,8.2,11,0,NA,NA,NA,NA,"solitairecog","12e38f",1,"12e38f",1237903,3648736661,"completed",2024-07-17 11:24:55,2024-07-17 11:28:36,"klondike-turn-1","CN/nbOr/qocwCU9jGuHfQO0t++ojlxJ3llSw/9J4cug=",148,125,273,2024-07-17 11:22:23,2024-07-17 11:24:54,1,0,11,0,87,648,459,"0157","ZA",FALSE,TRUE,NA,0,"23","Female","No"
"2",150,"solitairecog",215,1,"a TestMyBrain test!",3,"Fast Reactions","SimpleRT_Main.v1.Jul23","129216","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","null",2024-07-17 21:05:37,2024-07-17 21:06:56,"UTC - UTC +00:00",79,30.72,"[{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":270.6,""dwell"":50.5,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":321.9,""dwell"":29,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":141.9,""dwell"":54.3,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1300,""response"":""document"",""rt"":649,""dwell"":64.4,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":329.2,""dwell"":1445.3,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":320.3,""dwell"":42.3,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":285.7,""dwell"":43.7,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":285.1,""dwell"":32.8,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""response"":""document"",""rt"":297.3,""dwell"":31.3,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":297.2,""dwell"":54,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""response"":""document"",""rt"":294.9,""dwell"":41.9,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""response"":""document"",""rt"":287.6,""dwell"":42.1,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""response"":""document"",""rt"":295,""dwell"":637.8,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":289.4,""dwell"":52.7,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":275.5,""dwell"":54.5,""state"":""pointerup-touch""}]",0,NA,NA,NA,NA,"12",1366,768,TRUE,"Unix",420,30.72,NA,NA,NA,NA,NA,NA,"touch","SimpleRT_Main.v1.Jul23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.52,294.95,102.96,"solitairecog","129216",1,"129216",1217046,3651039373,"completed",2024-07-17 21:04:10,2024-07-17 21:06:57,"klondike-turn-1","CN/nbOr/qocwCU9jGuHfQO0t++ojlxJ3llSw/9J4cug=",147,126,273,2024-07-17 21:01:38,2024-07-17 21:04:10,0,0,25,0,89,1366,633,"95141","US",FALSE,TRUE,NA,10,"20","Female","No"
"3",151,"solitairecog",218,1,"a TestMyBrain test!",5,"Spot the Difference","Flicker_Main.v1.Jun23","f7fee","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","null",2024-07-17 21:36:16,2024-07-17 21:39:52,"UTC - UTC +00:00",216,5.75,"[{""type"":""practice"",""correct"":1,""rt"":1734,""flips"":2,""seed"":""practice1"",""state"":""pointerup-mouse""},{""type"":""practice"",""correct"":1,""rt"":28046.5,""flips"":39,""seed"":""practice2"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":26403.6,""flips"":37,""seed"":""test1"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":0,""rt"":0,""flips"":42,""seed"":""test2"",""state"":""timeout""},{""type"":""test"",""correct"":1,""rt"":5514.3,""flips"":7,""seed"":""test3"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":22278.7,""flips"":31,""seed"":""test4"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":11297,""flips"":16,""seed"":""test5"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":9245.6,""flips"":13,""seed"":""test6"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":6770.1,""flips"":9,""seed"":""test7"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":4720.7,""flips"":6,""seed"":""test8"",""state"":""pointerup-mouse""},{""type"":""catch"",""correct"":1,""rt"":1988.3,""flips"":2,""seed"":""catch1"",""state"":""pointerup-mouse""},{""type"":""test"",""correct"":1,""rt"":7756.5,""flips"":11,""seed"":""test9"",""state"":""pointerup-mouse""}]",0,NA,NA,NA,NA,"9",1920,1080,FALSE,"Windows",240,5.75,0.9,NA,NA,NA,NA,NA,"mouse","Flicker_Main.v1.Jun23",NA,NA,NA,10663.9,8259.7,7756.5,14.7,11.8,11,1,NA,NA,NA,NA,"solitairecog","f7fee",1,"f7fee",1015790,3651060453,"completed",2024-07-17 21:27:32,2024-07-17 21:39:55,"klondike-turn-1","CN/nbOr/qocwCU9jGuHfQO0t++ojlxJ3llSw/9J4cug=",1252,128,1380,2024-07-17 21:06:35,2024-07-17 21:27:30,0,0,5,0,87,1903,911,"28273","US",FALSE,TRUE,NA,0,"51","Female","No"
"4",156,"solitairecog",223,1,"a TestMyBrain test!",3,"Fast Reactions","SimpleRT_Main.v1.Jul23","11b816","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Safari/605.1.15","null",2024-07-18 11:34:58,2024-07-18 11:36:04,"UTC - UTC +00:00",66,28.24,"[{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":314,""dwell"":41,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":287,""dwell"":48,""state"":""pointerup-touch""},{""type"":""practice"",""foreperiod"":1000,""response"":""document"",""rt"":239,""dwell"":67,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1300,""response"":""document"",""rt"":342,""dwell"":91,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":365,""dwell"":78,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":293,""dwell"":48,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":324,""dwell"":66,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":455,""dwell"":58,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""response"":""document"",""rt"":348,""dwell"":74,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":364,""dwell"":75,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":1100,""response"":""document"",""rt"":357,""dwell"":57,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""response"":""document"",""rt"":365,""dwell"":39,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":900,""response"":""document"",""rt"":324,""dwell"":65,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":389,""dwell"":75,""state"":""pointerup-touch""},{""type"":""test"",""foreperiod"":700,""response"":""document"",""rt"":323,""dwell"":99,""state"":""pointerup-touch""}]",0,NA,NA,NA,NA,"12",1080,810,TRUE,"MacOS",-60,28.24,NA,NA,NA,NA,NA,NA,"touch","SimpleRT_Main.v1.Jul23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.08,352.5,40.94,"solitairecog","11b816",1,"11b816",1161238,3651024971,"geo",2024-07-17 21:00:51,2024-07-17 21:00:51,"klondike-turn-1","CN/nbOr/qocwCU9jGuHfQO0t++ojlxJ3llSw/9J4cug=",154,116,270,2024-07-17 20:58:15,2024-07-17 21:00:51,0,0,31,0,83,1080,707,"W91","IE",FALSE,TRUE,"tablet",5,NA,NA,NA
